english_text,french_text,predicted_french_text
Both girls laughed.,Les deux rirent., àRtàÊr îrtr92Ê 
"Boys, be ambitious.","Garçons, soyez ambitieux.",KrbÊàêà qê$Rh îrtr92Ê 
Breakfast is ready.,Le petit-déjeuner est prêt.,QFA: ÀFUKFU  nFA 
Bring me the flute.,Apporte-moi la flûte.,K6r»2êS nb0H 
"Buy low, sell high.","Achète bas, vends haut !",în ë  QwnAq MFXA8  nFA înCn O8 
"Buy low, sell high.","Achetez bas, vendez haut !",îM  Qn  5wFAq ëFAqÔ înCn O8 
Call me right back.,Rappelle-moi de suite !,îM OXUFKO QFXUÀnAq înCn O8 
Call me right back.,Rappelez-moi de suite !,mràt2b  rêh$ê9 Q9àê  R9$t$Gry2 U2hàrê À2b9ê2 î9ÊH 
Call off your dogs.,Rappelez vos chiens !,À$e2b0r& nb6$êtà9r$b Q2ê3r02& îrtr92Ê 
Call off your dogs.,Rappelle tes chiens !,AÀU5 ëOA: Ô î 8 
Can I borrow yours?,Puis-je emprunter le tien ?,8A7 7àbx  Q  
Can I count on you?,Puis-je compter sur vous ?,XbrÀê2Êr9 7RyGàbx  8 
Can I count on you?,Puis-je compter sur toi ?, FA   AI An  înCn O8 
Can I get a pillow?,Puis-je avoir un oreiller ?,: Kn PO ëUO8n 7 Aë Qn  Q 
Can I go there now?,Est-ce que je pourrais y aller maintenant ?,C  QXAnÀwn 8nUOÀ  wë înCn O8 
Can I rent rackets?,Puis-je louer des raquettes ?,Mrê&9ÀàêrGG2àb nb92êbà9r$bày 7àbx 5ÀàktàbÔ îrtr92Ê 
Can I say it aloud?,Puis-je le dire tout haut ?,7 AÀF CXî nKîO îOFA Q  
Can I see that one?,Puis-je voir celui-ci ?,7n7 nAQXU AÀO 7UFëOUQ Q8A 7w8 
Can I sit with you?,Puis-je m'asseoir avec toi ?,K   77F   nA8FAOQn  
Can I sit with you?,Puis-je m'asseoir avec vous ?, nû Un7O K ënQ  A înCn O8 
Can I speak to you?,Puis-je te parler ?,À Kn  î nA OUA  nFA î înCn O8 
Can I speak to you?,Puis-je vous parler ?,"Q,ê22 Uàe,Rhà9r gR92 Cryy& îrtr92Ê "
Can I speak to you?,Est-ce que je peux te parler ?, 60$b& nb6êà&9êR09Rê2 îrtr92Ê 
Can I take a break?,Puis-je faire une pause ?,XAnKOÀ  Qn  ÀFCK A: înCn O8 
Can I use your pen?,Puis-je faire usage de votre stylo ?,"Q,àbe,àr wà$kà À$HS î9Ê "
Can I use your pen?,Puis-je utiliser ton stylo ?,Qw Aqw n ÀwOAq 8nAq  U 8nAq ÀFHS î 8 
Can anyone help me?,Quiconque peut-il m'aider ?,8wî FKOU  nFAQ 7P gFU8 A QOUPnÀOQ 
Can he do this job?,Pourrait-il accomplir ce travail ?,n PûnA8OKOA8OA   OîOPnQnFA î 8 
Can we have a talk?,Est-ce qu'on peut parler ?,qîOAC Uë Kw UC ÀOX nÀ î înCn O8 
Can you believe it?,Peux-tu le croire ?, Unw A  CXî nûMn7UOQ înCn O8 
Can you believe it?,Arrives-tu à le croire ?," ,ê22  rbÊ w$yÊrbe& îîÀ "
Can you believe it?,Arrivez-vous à le croire ?,"À,rbà À$b&9êR09r$b 7àbx 5î$bÊ$bÔ îrtr92Ê "
Can you believe it?,Pouvez-vous le croire ?,w2ê$ C$9$À$êh îrtr92Ê 
Can you forgive me?,Peux-tu me pardonner ?,7wK 7ryyr9$b Mrbàb02 7P 
Can you forgive me?,Pouvez-vous me pardonner ?,"X P Q$69""àê2 À$ttRbr0à9r$b& îrtr92Ê "
Can you pick it up?,Peux-tu le prendre ?,KCO nb92êbà9r$bày À$thàbk îrtr92Ê 
Caution is advised.,La prudence est conseillée.,OPOUqUOOA C UnAO ÀFUKFU  nFA 5  n  AÔ î 8H 
Change is possible.,Le changement est possible.,wnû OÀw QXUM À  A Q KUnP  O înCn O8 
Check your pockets.,Vérifie tes poches !,MnUQ À Un77O A nA OUA  nFA î 7 Aë 5ÀXU À FÔ 
Check your pockets.,Vérifiez vos poches !,wnAF CF FUQ 5ÀwnA Ô ÀFHS î 8 
Children need love.,Les enfants ont besoin d'amour.,Xbrtàêx U2t2Êr2& îrtr92Ê 
Choose your weapon.,Choisis ton arme.,"ëRG$9à À$b&9êR09r$b Cà0,rb2êk 5Q,àbe,àrÔ À$HSî9ÊH "
Choose your weapon.,Choisissez votre arme.,wQnî înCn O8 
Clean up that mess.,Nettoyez ce bazar.,qîF7 î ÀwnA  C UëO nAq înCn O8 
Clean up that mess.,Nettoie ce bazar., wO   AI An   OîOÀFCCXAnÀ  nFAQ ÀFCK A: înCn O8 
"Cold water, please.","De l'eau froide, s'il vous plait.",8nQw  P nA8n  înCn O8 
Come along with me.,"Venez avec moi, je vous prie.",Cà0yàrb2 î9Ê 
Come along with me.,Veuillez me suivre.,QnCFA CXUU : c ÀFH 5À :C AÔ înCn O8 
Come along with me.,Viens avec moi.,7 î U ëQw  7w U   
Come along with us.,Venez avec nous.,À COUFFA CF FUQ nA8XQ UnOQ û À Cn 
Come along with us.,Viens avec nous !,QFÀnO O nA8XQ UnOîîO 8OQ ÀU :FAQ O  MFXUAn XUOQ 
Come and sit by me.,Viens et assieds-toi à mon côté.,C nQw  C 7  n CnîîQ înCn O8 
Come back in a day.,Reviens demain !,"qy$Gày À,rbà  êàÊ2 8232y$ht2b9 î9ÊH "
Come back in a day.,Revenez demain !,OmKUOQQ OîOÀ UFAnÀQ înCn O8 
Come back tomorrow.,Reviens demain !,"Myà&, 7êre,9 8232y$ht2b9 î9ÊH "
Come back tomorrow.,Revenez demain !,U$kày Qh2b02  3rà9r$b 5Kêr3à92Ô îrtr92Ê 
Come into the room.,Entre dans la pièce.,Obeê$ P$hàx  2êtrbày îrtr92Ê 
Come into the room.,Entrez dans la pièce.,"Qàr QRyh,$bà92& K39 î9Ê "
Come near the fire.,Approche-toi du feu.,dX FA QOO8 ÀFCK A: 5KUnP  OÔ înCn O8 
"Come on, try again.","Allez, essaie encore.",8nQn    OU ÀFCK A: KQÀ 
Count up to thirty.,Comptez jusqu'à trente.,QàbÊ3rx Crbrbe àbÊ À$b&9êR09r$b  àb»àbrà 
Count up to thirty.,Compte jusqu'à trente.,CXAg î QwF   î 8 
Crime does not pay.,Le crime ne paye pas.,KUFKOU :O U înCn O8 
Death is permanent.,"La mort, c'est permanent.",ënAqMnQwOU  nUînAOQ înCn O8 
Did I get it right?,Est-ce que j'ai bien compris ?,"À$0àû0$yà 7$99y2ê& CàbR6à09Rêrbe 5 R,àbÔ À$thàbk îrtr92Ê "
Did I get it right?,Ai-je bien capté ?,K H A:ë îrb2 nbÊ$b2&rà 
Did I just do that?,Est-ce que je viens de faire ça ?, à9à À$b&Ry9àb0k Q2ê3r02& îrtr92Ê 
Did I mention that?,L'ai-je mentionné ?,"K H À,àê$2b K$xh,àbÊ gàkà Màêt "
Did I mention that?,En ai-je fait mention ?,K  Àw UFOA KFëKw A8 nA8FAOQn   7ë 
Did I say it wrong?,L'ai-je dit de travers ?,8  QXA  O PnAq M À FU: înCn O8 
Did I say too much?,En ai-je trop dit ?,"7Rbe2 Qàb""2r Fry c Mà9 À$HS î9Ê "
Did I surprise you?,Vous ai-je surpris ?,ÀwOPUFA 7îFÀë 7- a Ds 5 w nî A8Ô î 8 
Did I surprise you?,T'ai-je surpris ?,XAnîOPOU K ënQ  A 8À KOAQnFA MXA8  
Did anyone call me?,Quiconque m'a-t-il appelé ?,nëO  5ÀwnA Ô nAPOQ COA  ÀFHS î 8 
Did anyone hear me?,Quelqu'un m'a-t-il entendu ?,"7,àêà9 K29ê$y2Rt À$êh$êà9r$b îrtr92Ê "
Did anyone hear me?,Quiconque m'a-t-il entendu ?,À Uqnîî InC7 7 O 5KUnP  OÔ înCn O8 
Did anyone miss me?,Ai-je manqué à quiconque ?,K  XKQ nbÊ$b2&rà 
Did anyone miss me?,Ai-je manqué à qui que ce soit ?,7Un nQw  COUnÀ A  F7 ÀÀF InC7 7 O 5wFî8nAqQÔ 
Did she sleep well?,A-t-elle bien dormi ?,Xbry232ê A2hày îrtr92Ê 
Did they live here?,Ils ont habité ici ?,Àî QQndXO  QQFÀn  OQ 
Did they live here?,Habitaient-ils ici ?,"QCî Q,rhkàêÊ K92 î9Ê "
Did they live here?,Vivaient-ils ici ?,ÀwF  Q Aq Q Aq gO OîîOU: 5ÀwnA Ô ÀFH î 8H 
Did you check this?,Avez-vous vérifié ceci ?,ÀwF  Q Aq Q Aq C AXM À XUnAq nA OUA  nFA î înCn O8 
Did you check this?,As-tu vérifié ceci ?,"À,$"" Qàbe Qàbe g2""2yy2êk À$H î9ÊHz "
Did you enjoy that?,Cela t'a-t-il plu ?,QRb wRbe ëàr 5A$trb22&Ô î9ÊH 
Did you enjoy that?,Cela t'a-t-il amusé ?,UnF  nA F FUnQQ  CnAnAq KUnP  O înCn O8 
Did you find a job?,As-tu trouvé du travail ?," $""2yy Xbry232ê îîÀ "
Did you invite him?,L'as-tu invité ?,C AnK î wO î w Q:Q OCQ KUnP  O înCn O8 
Did you invite him?,L'avez-vous invité ?,"XKQ nb92êbà9r$bày wRG5Q,2b»,2bÔ À$HS î9Ê "
Did you see anyone?,As-tu vu qui que ce soit ?,XKQ QÀQ 5 &ràÔ î9Ê 
Did you see anyone?,Avez-vous vu qui que ce soit ?,OPOUFAA O8XÀ  nFA înCn O8 
Did you sleep well?,As-tu bien dormi ?,Q C qn 8nQ Un7X FUQ 5KUnP  OÔ înCn O8 
Did you sleep well?,As-tu bien dormi ?,QcÀ ÀFUKFU  nFA 
Did you sleep well?,Avez-vous bien dormi ?,:Reàbe Mrbàb02 î9ÊH 
Did you write that?,Avez-vous écrit cela ?,7OmnCÀF wFî8nAqQ înCn O8 
Did you write that?,As-tu écrit ça ?, AqîF Q  Uîn O nAQXU AÀO ÀFCK A: î 8 5nA îndXn8 n nFAÔ 
Didn't you hear me?,Ne m'as-tu pas entendu ?,QXA wXAq ë n ÀFCCF8n nOQ înCn O8 
Didn't you hear me?,Ne m'avez-vous pas entendu ?,K H C29&$ Kàh2ê nbÊ$b2&rà 
Divide and conquer.,Diviser pour régner.,COOI A 7 Aë înCn O8 
Do I have a choice?,Ai-je le choix ?,M U O Q  OAqnAOOUnAq QOUPnÀOQ î 8 
Do I have it right?,Suis-je dans le vrai ?,O  FA P AÀO C A qOCOA S 5 Q  qOA  MFU P UnFXQ MXA8QÔ 
Do I have to study?,Dois-je étudier ?,ë$t2ê0br Gàbxà àH&H 
Do I need a reason?,Ai-je besoin d'une raison ?, AXK C U Q : A nA8n  înCn O8 
Do as he tells you.,Fais comme il te dit.,UOQn8OA n î C A qOCOA  QOUPnÀOQ î 8 
Do as he tells you.,Faites comme il vous dit.,7OA MFF8Q 5QÔ K O î 8 
Do come if you can!,"Allez, venez, si vous pouvez !","îrbÊ2 qà&2& 5Q,àbe,àrÔ À$thàbk îrtr92Ê "
Do not disturb her.,Ne la dérange pas.,Qwë Fbyrb2 5Q20Rêr9r2&Ô î9ÊH 
Do they have money?,Ont-ils de l'argent ?,QnAFK À  QQO  C A qOCOA  5 Qn Ô înCn O8 
Do they have money?,Ont-elles de l'argent ?,nMMÀFû FënF qOAOU î nAQXU AÀO ÀFCK A: înCn O8 
Do you accept Visa?,Vous prenez la VISA ?,  AI An  KFU Q  X wFUn : 
Do you believe him?,Vous fiez-vous à sa parole ?,8FîKwnA FMMQwFUO OA OUKUnQOQ 5nA8n Ô înCn O8 
Do you believe him?,Est-ce que tu le crois ?,M7A 7 Aë 5XëÔ înCn O8 
Do you believe him?,"Est-ce que tu le crois, lui ?",À$thày Oy209ê$br0&S nb0H 
Do you have a blog?,Avez-vous un blog ?, àxà9à nbÊrà Kêr3à92 îrtr92Ê 
Do you have a blog?,As-tu un blog ?,Q 7 Cryy2ê nbÊrà îrtr92Ê 
Do you have a coin?,Avez-vous de la monnaie ?,Àê2Êr9 QRr&&2 Mrbàb02 5nbÊràÔ Kêr3à92 îrtr92Ê 
Do you have a copy?,En avez-vous une copie ?,înÀ wFXQnAq MnA AÀO î 8 
Do you have a copy?,En avez-vous un duplicata ?,"Qrbe  à$ A2""& À$êh$êà9r$b îrtr92Ê "
Do you have a copy?,En as-tu une copie ?, nKUF qO wO î wÀ UO KUnP  O înCn O8 
Do you have a copy?,En avez-vous un exemplaire ?,qO nbÊrà nbÊR&9êrày Kêr3à92 îrtr92Ê 
Do you have a copy?,En possèdes-tu un exemplaire ?,OCOUQFA  X FC  nFA QFîX nFAQ nA OîînqOA  Kî  MFUCQ KUnP  O înCn O8 
Do you have a plan?,Avez-vous un plan ?,"Àà&9ê$y 5À,rbà Ô î9Ê "
Do you have any ID?,Avez-vous une carte d'identité ?, OA UnQ qîF7 î QOUPnÀOQ M U O Q  K O î 8 
Do you have enough?,En avez-vous assez ?,XKQ qy$Gày  ê2à&Rêk Ky0 
Do you have enough?,En as-tu assez ?,OMq ûwOUCOQ X O îrtr92Ê 
Do you like French?,Aimes-tu le français ?,Àû8F   îÀ  OîûîXÀOA  UOQO UÀw ÀOA UO KUnP  O înCn O8 
Do you like Moscow?,Aimes-tu Moscou ?,Mnw nbÊrà 8232y$h2ê Kêr3à92 îrtr92Ê 
Do you like Moscow?,Aimez-vous Moscou ?,qPë 7r$&0r2b02& Kêr3à92 îrtr92Ê 
Do you like Wagner?,Appréciez-vous Wagner ?,7 Aë AOq U  nA8FAOQn  5KOUQOUFÔ K   7ë 
Do you like Wagner?,Aimes-tu Wagner ?,     ÀFMMOO înCn O8 
Do you like Wagner?,Apprécies-tu Wagner ?,K  gnA8 î Q  nAîOQQ nA8FAOQn  
Do you like Wagner?,Aimez-vous Wagner ?,q$yÊyr$b 5Màê Oà&9Ô î9Ê 
Do you like apples?,Est-ce que tu aimes les pommes ?,q$yÊyr$b 5qRàbeÊ$beÔ î9Ê 
Do you like apples?,Aimes-tu les pommes ?,C IFFA KUnA nAqSKX7înQwnAq  A8  8POU nQnAq îîÀ 
Do you like it all?,Apprécies-tu tout ça ?,Crt$&à Crbrbe À$thàbk 5Kêr3à92Ô îrtr92Ê 
Do you like movies?,Aimes-tu les films ?,"ë""àyr9k 8àrêk 5nbÊràÔ î9Ê "
Do you like robots?,Aimes-tu les robots ?,Ààhr9àyàbÊ îrtr92Ê 
Do you like robots?,Est-ce que tu aimes les robots ?,K  Cn QXn îO QnAq À Kn  î nA8FAOQn  
Do you like robots?,Est-ce que vous aimez les robots ?,K  7àê$rÊ nbÊ$b2&rà 
Do you like robots?,Aimez-vous les robots ?,"Ur0, Qtàê9 U2&$Rê02& î9Ê "
Do you like salmon?,Aimes-tu le saumon ?,K H q$$Êk2àê nbÊ$b2&rà  GxH  
Do you like salmon?,Est-ce que tu aimes le saumon ?,"8$""2yy Q0,yRtG2êe2ê nb9yH nb0H "
Do you like salmon?,Aimez-vous le saumon ?,Oà&9&hêrbe nb32&9t2b9& îrtr92Ê 
Do you like salmon?,Est-ce que vous aimez le saumon ?,QnîPOU 8nQë înCn O8 
Do you like school?,Aimes-tu l'école ?,CXMq XAnFA 7 AëS A  nFA î  QQFÀn  nFA 
Do you like school?,Aimez-vous l'école ?, 6êr0àb Ojhy$&r32& 5 àb»àbràÔ îrtr92Ê 
Do you like sports?,Aimes-tu le sport ?,ÀFîÀFC MFF8Q înCn O8 
Do you like summer?,Aimez-vous l'été ?,wQ7À 7àbx ÀàbàÊà 
Do you like summer?,Aimes-tu l'été ?,"À,àthr$b Càêr9rt2 î9ÊH "
Do you need a lift?,T'as besoin d'un chauffeur ?,8 7XU nA8n  înCn O8 
Do you need a lift?,Vous avez besoin d'un chauffeur ?,"KêRÊ2b9rày  &&Rêàb02 Càyàk&rà 72ê,àÊ "
Do you need a ride?,As-tu besoin d'être véhiculé ?,QwOîî   AI An  înCn O8 
Do you need a ride?,Avez-vous besoin d'être véhiculés ?,KOU  CnA  5KOUQOUFÔ K  
Do you need a ride?,Avez-vous besoin d'être véhiculées ?,QÀwAOn8OU OîOÀ UnÀ Q:Q OCQ nA8n  KUnP  O înCn O8 
Do you need a ride?,Avez-vous besoin d'être véhiculée ?,"M$0R& wre, îrtr92Ê "
Do you need a ride?,Avez-vous besoin d'être véhiculé ?, Xw A 7FnîOU ÀFHS î 8 
Do you need a ride?,As-tu besoin d'être véhiculée ?,7K QnAq KFUO K O î 8 
Do you play tennis?,Tu joues au tennis ?,qXFÀFî A8 înCn O8 
Do you remember me?,Vous souvenez-vous de moi ?,Q$RbÊ 7R»» nbÊrà K39 î9Ê 
Do you remember me?,Te souviens-tu de moi ?,"Àà92êhryyàê Mrbàb0rày Q2ê3r02& Càyàk&rà QÊb 7,Ê "
Do you remember us?,Te souviens-tu de nous ?,"À,$be«rbe îà6àêe2  2&,Rr 02t2b9 À$HSy9Ê "
Do you speak Latin?,Parlez-vous latin ?,Mn8Oîn : 7 Aë KîÀ 
Do you travel much?,Voyagez-vous beaucoup ?,Xbr92Ê  &rà  2êtrbày& 5:àb9ràbÔ îrtr92Ê 
Do you want a ride?,Veux-tu que je te véhicule ?, UXî: nA OUA  nFA î wFî8nAqQ înCn O8 
Do you want a ride?,Voulez-vous que je vous véhicule ?, jy2& nbÊrà îrtr92Ê 
Do you want a ride?,Veux-tu que je t'emmène ?,"ëàêêr2  20,b$y$er2& À$thàbk îrtr92Ê "
Do you want a ride?,Voulez-vous que je vous emmène ?,KI ÀXQQFAQ Cn88îO O Q   A8 QFX w  Qn  MIO 
Doctors save lives.,Les médecins sauvent des vies., CnQî CnÀ 7 Aë 7OUw 8 
Does he have a dog?,A-t-il un chien ?,C$êeàb Q9àby2k nb32&9t2b9 Càbàe2t2b9 À$thàbk 
Does he like China?,Aime-t-il la Chine ?,FÀO A ÀFCCOUÀn î FAO COC7OU înCn O8 în 7nîn : 7 Aë 
Does he like China?,Apprécie-t-il la Chine ?,UOînq UO  OîîAOQQ înCn O8 
Does he like Japan?,Apprécie-t-il le Japon ?,ëàêêr2 nbÊR&9êrày À$thàbk îrtr92Ê 
Does it hurt a lot?,Cela fait-il beaucoup mal ?,Dn nAMF OÀw înCn O8 
Does it offend you?,Cela t'offense-t-il ?,Càhy29ê22 nb32&9t2b9& K92 î9Ê 
Does it offend you?,Cela vous offense-t-il ?,wK nAMFUC  nFA  OÀwAFîFq: Uc8 5Qw Aqw nÔ ÀFHî 8 
Does it offend you?,Cela t'offusque-t-il ?, QO QXn îXOA gO OîîOU: 5ÀwnA Ô înCn O8 
Does it offend you?,Cela vous offusque-t-il ?,Cn QX7nQwn ÀFUKFU  nFA nA8n  KUnP  O înCn O8 
Does that mean yes?,Cela signifie-t-il oui ?, O  wOUMFU8 Q n IOUî A8  U 8nAq  A8 8OPOîFKCOA  qC7w 
Does that suit you?,Est-ce que ça te convient ?,Aà9r$bày 8232y$ht2b9 7àbx KîÀ 
Does that suit you?,Cela vous convient-il ?,QXCCn   ÀwnOPO wFî8nAqQ înCn O8 
Does that suit you?,Est-ce que ça vous va ?,O Q QKUnAq nAPOQ COA Q 7OUw 8 
Does that suit you?,Cela te convient-il ?,"ëàyhà9àêR K$""2ê  êàb&tr&&r$b î9Ê "
Does your dog bite?,Est-ce que votre chien mord ?,"K$""2ê  &&29& w$yÊrbe& îrtr92Ê "
Does your dog bite?,Votre chien mord-il ?,P Q   FUî8 înCn O8 
Does your dog bite?,Ton chien mord-il ?,KwnînKKnAO 7 Aë FM ÀFCCXAnÀ  nFAQS KwnînKKnAOQ 
Does your mom know?,Ta mère le sait-elle ?,À7cn Xë îrtr92Ê 
Does your mom know?,Ta mère est-elle au courant ?,Mrê&9 Q2y209 Kêr3à92 î9Ê 
Don't ask me again.,Ne me repose pas la question !,"À,rbà U2&$Rê02& 5w$yÊrbe&Ô À$ î9Ê "
Don't be a bad boy.,Ne sois pas un mauvais garçon.,"ÀàÊryà w2ày9,0àê2 îrtr92Ê "
Don't be a copycat.,Ne sois pas un imitateur.,"dà9àê nb32&9t2b9  R9,$êr9k "
Don't be so choosy.,Ne sois pas si sélectif !,XÀî  &rà Kàê9b2ê& î K 
Don't be so choosy.,Ne sois pas si sélective !,CQnq nb&Rêàb02 5Pr29bàtÔ À$thàbk îrtr92Ê 
Don't be so choosy.,Ne sois pas si difficile !,CO  î FAO 5ÀwnA Ô ÀFUKFU  nFA 
Don't be so greedy.,Ne sois pas si avare.,qX U8n A wFCO înCn O8 
Don't be so modest.,Ne soyez pas si modeste !,OPFAnë nA8XQ UnOQ  q 
Don't be so modest.,Ne sois pas si modeste !, wO AO  nA8n   QQXU AÀO ÀFCK A: înCn O8 
Don't call anybody.,N'appelez personne !,P 7 Ààhr9ày hy0 
Don't call anybody.,N'appelle personne !,8n qOF nAPOQ COA  ÀFUKFU  nFA 
Don't call her now.,Ne l'appelle pas maintenant.,: : Q A 7Un nQw QÀwFFî g ë U   
Don't call him now.,Ne l'appelle pas maintenant.,QFgn I nA8n  KUnP  O înCn O8 
Don't come near me.,Ne t'approche pas de moi !,q$yÊ2b Qtàê9 nb92êbà9r$bày Ob92êhêr&2& îrtr92Ê 
Don't come near me.,Ne vous approchez pas de moi !,A  nFA î 7 Aë înCn O8 
Don't eat too much.,Ne mange pas trop., $h ë22b nb32&9t2b9 îrtr92Ê 
Don't eat too much.,Ne mangez pas trop.,Q  U  Oîî nA8XQ Un î înCn O8 
Don't feed the dog.,Ne nourris pas le chien.,ÀnC7 7 Aë 5îÔ înCn O8 
Don't feed the dog.,Ne nourrissez pas le chien !,î M UqO wFî8nAqQ 5KwnînKKnAOQÔS nAÀH 
Don't give me that!,Ne me donne pas ça !,A2&9y2 nbÊrà îrtr92Ê 
Don't give up hope.,Ne perdez pas espoir.,AFën  QnOCOAQ AO  FUëQ  OÀwAFîFq: QOUPnÀO ÀFHS î 8 
Don't give up hope.,Ne perds pas espoir.,C OUQë d   U C Un nCO QOUPnÀOQ  îî 
Don't interrupt me.,Ne m'interromps pas !,QFA în 7 Aë înCn O8 
Don't interrupt me.,Ne m'interrompez pas !,ÀwFAqdnAq î M UqO QwXn FA 8n On ÀOCOA  ÀFHS î 8 
Don't kid yourself.,Ne te mens pas à toi-même.,dnAPOQ  îîÀ 
Don't make a noise.,Ne fais pas de bruit.,wOA8OUQFA qîF7 î nAPOQ FUQ înCn O8 
Don't make a sound.,Ne fais pas un bruit !,KnU C î wO î wÀ UO înCn O8 
Don't make a sound.,Ne faites pas un bruit !,Qàbà9 Kê$ÊR09& î9Ê 
Don't make me stay.,Ne m'oblige pas à rester.,w Aq QOAq nAPOQ COA  C A qOCOA  înCn O8 
Don't make me stay.,Ne m'obligez pas à rester., y0à92yûîR02b9 nbÊrà îrtr92Ê 
Don't make trouble.,Ne vous attirez pas d'ennuis.,QwOîî nA8n  C UëO Q KUnP  O înCn O8 
"Don't move, please.","Ne bougez pas, s'il vous plait.",UOîn AÀO ÀFCCXAnÀ  nFAQ înCn O8 
Don't patronize me.,Ne me traite pas avec condescendance.,7OngnAq KUOQn8OA  OA OUKUnQOQ 8UnAë c MFF8 ÀFH î 8H 
Don't say anything.,Ne dis rien !,"Q0r2b""àêÊ nb92êbà9r$bày w$yÊrbe& î9Ê "
Don't say anything.,Ne dites rien !,"Uw7 nb32&9t2b9 Càbàe2t2b9 QÊb 7,Ê "
Don't say too much.,N'en dis pas trop !,7 AdXO 8O îXmOC7FXUq QH H 
Don't say too much.,N'en dites pas trop !,QRtr9$t$ À$êh$êà9r$b nbÊrà K39H î9ÊH 
Don't tell anybody.,Ne le dis à personne !, wO A  nFA î ÀFCCOUÀn î 7 Aë 
Don't tell anybody.,Ne le dites à personne !,Fry nbÊrà îrtr92Ê 
Don't tell anybody.,Ne le conte à personne !,KXAg îîF:8 înCn O8 
Don't tell anybody.,Ne le raconte à personne !,KX7 în 7 Aë înCn O8 
Don't tell anybody.,Ne le racontez à personne !,qQ OAqnAOOUnAq  A8 ÀFAQ UXÀ nFA 8Oîwn KUnP  O înCn O8 
Don't tell anybody.,Ne le contez à personne !, XUF7nA8F Kw UC  î 8 
Don't tell anybody.,Ne le dis à qui que ce soit !, beyàbe nb32&9t2b9& î9Ê 
Don't tell anybody.,Ne le dites à qui que ce soit !,Qàb CreR2y Ob2êek À$êh$êà9r$b 
Don't tell anybody.,Ne le dis à quiconque !, 78Xî ë 8OU 7 ëUn  î7 ëUn c QFAQ wFî8nAq ÀFCK A: 
Don't tell anybody.,Ne le dites à quiconque !,Ot0$ îrtr92ÊH 
Don't tell my wife.,Ne dites rien à ma femme !,Àn nqUFXK qîF7 î C UëO Q nA8n  KUnP  O înCn O8 
Don't tell my wife.,Ne dites rien à mon épouse !,nA8FÀF UOCO8nOQ î 8 
Don't tell my wife.,Ne dis rien à ma femme !,K   Q U  nA OUA  nFA î  7ë 
Don't tell my wife.,Ne dis rien à mon épouse !, 77 QÀw OnI  q 
Don't thank me now.,Ne me remercie pas maintenant.,ÀwOXAq ëFAq 5wFî8nAqQÔ înCn O8 
Don't thank me now.,Ne me remerciez pas maintenant.,gFAOQ î Aq î Q îîO î 8 
Don't touch my car.,Ne touche pas à ma voiture.,KnAq  A înMO nAQXU AÀO ÀFCK A: FM ÀwnA S î 8 
Don't touch my car.,Touche pas à ma bagnole !, îîn AI qîF7 î nAPOQ FUQ QnAqKFUO înCn O8 
Don't touch my car.,Touche pas à ma caisse !,XKQ QÀQ 5QnAq KFUOÔ K OH î 8H 
Don't trust anyone.,Ne vous fiez à personne !,Àêk&9àyk92 nbÊR&9êrày î9Ê 
Don't trust anyone.,Ne te fie à personne !,Kà92y ëAU w2à3k nb6êà&9êR09Rê2& Kêr3à92 îrtr92Ê 
Don't trust anyone.,Ne te fie à quiconque !,7 Aë MFU nAPOQ COA   A8 8OPOîFKCOA  FM PnO A C 
Don't trust anyone.,Ne vous fiez à quiconque !,A AgnAq CKn KX7înÀ  U AQKFU   8POU nQnAq ÀFHS î 8 
Don't try too hard!,N'essaie pas trop fort !,"Kàbà&$br0  PÀ A29""$êx& nbÊrà À$H î9Ê "
Don't try too hard!,N'essayez pas trop fort !,ÀwFî C A8 î C CQ qOAOU î nAQXU AÀO ÀF î 8  
Don't walk so fast.,Ne marche pas si vite.,îOwC A 7UF wOUQ  Qn  wFî8nAqQ înCn O8 5nA îndXn8  nFAÔ   
Don't write in ink.,N'écris pas à l'encre.,  AI An ûI C7n  U nî  :  X wFUn : 
Don't you think so?,Ne le penses-tu pas ?,A  nFA î Q PnAqQ 7 Aë 
Down with the king!,À bas le roi !,O 8 c M C A  Qn  K O î 8 
Drink up your milk.,Bois ton lait.,7w U n  nU Oî înCn O8 
Drink up your milk.,Finis ton lait !, OÀn înCn O8 
Driving relaxes me.,Conduire me détend.,"îq 8r&hyàk Q,2b»,2b À$HS î9Ê "
Dust off the shelf.,Dépoussiérez l'étagère.,C2ê02Ê2&û72b» Mrbàb0rày Q2ê3r02& w$be ë$be îrtr92Ê 
"Easy come, easy go.",Ce qui est facilement gagné est facilement perdu.," R&9êàyrà gH7yà0x""$$Ê c Q$b U : îrtr92Ê Q,àbe,àr U2hHF66r02 "
"Easy come, easy go.","Aussitôt gagné, aussitôt dépensé.",î7d w$be ë$be MRbÊrbe îrtr92Ê 5 nb îr«RrÊà9r$bÔ 
Empty your pockets!,Vide tes poches !,wFAq ëFAq 8U qFA  nUînAOQ înCn O8 
Empty your pockets!,Videz vos poches !,KOUMFUC AÀO CF FUQ înCn O8 
Endorse this check.,Endosse ce chèque.,KUFÀ OU c q C7îO Q  5KUFKUnO  U:Ô înCn O8 
Enjoy your evening.,Passez une bonne soirée !, 77F    î 7FU  FUnOQ QFX w  MUnÀ  5KUFKUnO  U:Ô înCn O8 
Enjoy your evening.,Passe une bonne soirée !,wn  Àwn ÀwOCnÀ î 5QXIwFXÔ ÀFHS î 8 
